id,pid,deep,name,pinyin_prefix,pinyin_prefix2,pinyin,ext_id,ext_name,full_name
11,0,0,北京,b,bj,bei jing,110000000000,北京市,北京市
1101,11,1,北京,b,bj,bei jing,110100000000,市辖区,北京市 市辖区
110101,1101,2,东城,d,dc,dong cheng,110101000000,东城区,北京市 市辖区 东城区
110102,1101,2,西城,x,xc,xi cheng,110102000000,西城区,北京市 市辖区 西城区
110105,1101,2,朝阳,c,cy,chao yang,110105000000,朝阳区,北京市 市辖区 朝阳区
110106,1101,2,丰台,f,ft,feng tai,110106000000,丰台区,北京市 市辖区 丰台区
110107,1101,2,石景山,s,sjs,shi jing shan,110107000000,石景山区,北京市 市辖区 石景山区
110108,1101,2,海淀,h,hd,hai dian,110108000000,海淀区,北京市 市辖区 海淀区
110109,1101,2,门头沟,m,mtg,men tou gou,110109000000,门头沟区,北京市 市辖区 门头沟区
110111,1101,2,房山,f,fs,fang shan,110111000000,房山区,北京市 市辖区 房山区
110112,1101,2,通州,t,tz,tong zhou,110112000000,通州区,北京市 市辖区 通州区
110113,1101,2,顺义,s,sy,shun yi,110113000000,顺义区,北京市 市辖区 顺义区
110114,1101,2,昌平,c,cp,chang ping,110114000000,昌平区,北京市 市辖区 昌平区
110115,1101,2,大兴,d,dx,da xing,110115000000,大兴区,北京市 市辖区 大兴区
110116,1101,2,怀柔,h,hr,huai rou,110116000000,怀柔区,北京市 市辖区 怀柔区
110117,1101,2,平谷,p,pg,ping gu,110117000000,平谷区,北京市 市辖区 平谷区
110118,1101,2,密云,m,my,mi yun,110118000000,密云区,北京市 市辖区 密云区
110119,1101,2,延庆,y,yq,yan qing,110119000000,延庆区,北京市 市辖区 延庆区
12,0,0,天津,t,tj,tian jin,120000000000,天津市,天津市
1201,12,1,天津,t,tj,tian jin,120100000000,市辖区,天津市 市辖区
120101,1201,2,和平,h,hp,he ping,120101000000,和平区,天津市 市辖区 和平区
120102,1201,2,河东,h,hd,he dong,120102000000,河东区,天津市 市辖区 河东区
120103,1201,2,河西,h,hx,he xi,120103000000,河西区,天津市 市辖区 河西区
120104,1201,2,南开,n,nk,nan kai,120104000000,南开区,天津市 市辖区 南开区
120105,1201,2,河北,h,hb,he bei,120105000000,河北区,天津市 市辖区 河北区
120106,1201,2,红桥,h,hq,hong qiao,120106000000,红桥区,天津市 市辖区 红桥区
120110,1201,2,东丽,d,dl,dong li,120110000000,东丽区,天津市 市辖区 东丽区
120111,1201,2,西青,x,xq,xi qing,120111000000,西青区,天津市 市辖区 西青区
